#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
466,24.115125,-36.377417,G,5398.062999,0.018006,,42,1,52,13,12,18,1,10,14,4,3
467,24.515292,32.494139,G,5446.029792,0.018166,,39,,45,13,9,7,,18,25,3,2
468,24.644958,34.992111,G,4784.987422,0.015961,,33,,41,10,7,6,,,3,1,1
469,24.586875,7.534139,G,4301.122395,0.014347,,72,,54,18,15,7,,5,15,1,2
470,24.618708,-33.607944,G,8944.008192,0.029834,,25,1,35,11,4,16,2,3,6,2,1
471,24.879833,33.824389,G,4835.95214,0.016131,,28,,36,12,9,2,,2,6,1,4
472,24.888042,35.159833,G,5168.122183,0.017239,,24,,21,8,8,5,,2,9,1,4
473,24.746021,-29.925329,G,5882,0.01962,SPEC,36,3,19,11,7,17,1,4,8,2,1
474,24.140417,-80.347222,G,4322.107897,0.014417,,24,1,26,7,2,14,,10,13,2,1
475,24.720667,-42.585278,G,6230.886447,0.020784,,42,2,46,15,12,18,,9,10,3,1
476,25.03625,5.726694,G,3310.008529,0.011041,,65,1,45,20,13,6,,8,20,1,2
477,25.116542,34.625306,G,5505.088906,0.018363,,69,1,52,20,14,6,,18,25,5,3
478,24.987625,-28.696667,G,5904.112668,0.019694,,50,1,48,15,11,19,,10,12,3,1
479,25.115958,-5.520556,G,2127.02749,0.007095,,40,,33,17,10,3,,7,11,3,4
480,25.089958,-28.91275,G,5684.065004,0.01896,,49,2,47,17,9,19,,10,12,3,2
481,25.279625,-5.568111,G,1495.064988,0.004987,,51,,47,17,12,5,,7,10,3,4
482,25.35185,8.525527,G,4299.023848,0.01434,,35,1,47,16,10,6,,3,6,1,2
483,25.478875,7.121333,G,5469.113811,0.018243,,25,1,29,11,10,7,,3,6,1,3
484,25.54025,12.601889,G,2988.031429,0.009967,,100,1,76,28,16,8,,20,27,5,2
485,25.455458,-28.247222,G,5783.895892,0.019293,,32,1,48,14,11,16,,10,13,3,3
486,25.676292,-18.226917,G,4915.996726,0.016398,,42,,35,12,11,7,,11,12,1,1
487,25.76,13.645056,G,848.112864,0.002829,,470,14,235,49,34,12,,16,41,74,15
488,24.698958,-83.364306,G,4924.091123,0.016425,,41,2,54,11,9,17,,11,16,3,1
489,25.739667,4.200167,G,5568.9447,0.018576,,29,1,45,14,10,7,,3,7,1,2
490,25.809083,8.889361,G,5533.868982,0.018459,,50,2,45,16,12,7,,8,15,2,3
491,25.799625,4.278722,G,5607.917719,0.018706,,35,1,45,16,10,6,,4,8,1,3
492,25.775583,-44.214778,G,6337.012977,0.021138,,24,1,47,14,7,16,,7,8,3,1
493,25.940875,4.222889,G,5430.140792,0.018113,,74,1,53,19,15,7,,7,13,2,2
494,25.882833,-44.161667,G,6405.065865,0.021365,,13,1,42,11,6,15,,3,4,3,1
495,26.0725,12.254444,G,10225.021365,0.034107,,21,,11,9,9,4,1,3,7,,3
496,26.085917,17.477583,G,4603.0134,0.015354,,51,1,59,19,14,6,,8,14,5,2
497,26.159875,34.660222,G,5676.869985,0.018936,,25,,49,12,8,2,,2,6,1,4
498,26.208333,21.882417,G,10507.126068,0.035048,,39,1,46,14,8,6,,2,8,1,4
499,26.11975,-40.664611,G,10034.053569,0.03347,,29,2,48,13,11,18,,4,8,3,1
500,26.422,28.805528,G,7841.071739,0.026155,,30,1,46,15,11,6,,7,14,1,3
501,26.46575,35.110917,G,5661.880362,0.018886,,42,1,51,14,13,7,,13,19,1,2
502,26.398667,3.357528,G,5336.00596,0.017799,,27,,40,12,9,6,,7,12,1,2
503,26.295,-41.88,G,6361.895751,0.021221,,33,2,51,12,9,19,,9,11,3,1
504,25.389083,-83.212222,G,4626.996797,0.015434,,38,2,46,8,6,17,,14,17,3,
505,26.47875,9.822944,G,5207.095203,0.017369,,34,1,39,11,11,7,,7,14,1,4
506,26.408542,-34.523333,G,8467.038391,0.028243,,14,,32,7,6,15,2,,4,2,1
507,26.594458,36.460306,G,4498.08604,0.015004,,85,3,62,18,16,8,,16,27,2,2
508,26.706385,24.465252,G,3122.938035,0.010417,,48,,32,13,11,3,,7,14,,4
509,26.711629,11.401548,G,5219.986279,0.017412,,23,1,29,9,4,5,,,2,1,1
510,26.746553,13.125124,G,5505.226511,0.018363,SPEC,72,,95,27,21,15,,7,17,4,3
511,26.817292,35.563306,G,4674.064213,0.015591,,94,3,62,17,18,8,,14,27,3,4
512,26.804708,-40.658056,G,10002.875154,0.033366,,16,,38,10,8,17,,3,5,3,1
513,27.029441,36.453242,G,4659.973967,0.015544,,59,1,52,13,12,7,,15,24,1,1
514,26.950333,-16.722,G,5171.120108,0.017249,,28,1,37,11,8,6,,3,11,1,3
515,26.935375,-33.6015,G,8645.115111,0.028837,,28,1,55,11,5,20,2,7,10,4,
516,27.0935,11.521308,G,5183.111806,0.017289,,141,2,68,21,15,8,,32,45,2,2
517,27.139463,13.430714,G,5014.928237,0.016728,,42,1,23,11,9,4,1,4,11,9,4
518,27.157696,13.76889,G,4790.983271,0.015981,,28,1,24,10,6,3,1,4,8,9,2
519,27.312458,20.711306,G,2749.09684,0.00917,,82,1,58,22,18,7,,15,32,8,4
520,27.35725,35.452889,G,4146.129694,0.01383,,67,2,62,20,17,7,,7,14,1,3
521,27.156,-48.821111,G,6303.136429,0.021025,,33,2,46,13,7,17,,13,13,3,1
522,27.353407,13.368957,G,4606.910702,0.015367,,48,,86,17,15,14,,3,7,1,4
523,27.515,16.439167,G,4973.856671,0.016591,,25,,32,9,7,4,,3,12,,2
524,27.551417,27.196167,G,3503.074872,0.011685,,82,3,45,18,15,6,,7,20,2,5
525,27.446417,-21.9075,G,11842.101883,0.039501,,37,1,48,14,7,4,,8,8,1,1
526,27.465708,-27.466611,G,4209.985488,0.014043,,38,2,57,17,8,19,,7,11,3,1
527,27.684083,35.284528,G,4150.926373,0.013846,,115,3,80,20,19,8,,15,31,2,5
528,27.628542,6.145222,G,1564.916631,0.00522,,127,2,82,31,17,8,,5,18,14,3
529,27.695125,32.546694,G,11333.953667,0.037806,,39,1,39,14,11,7,,3,10,1,3
530,27.699583,35.93275,G,4867.130556,0.016235,,58,,54,12,10,7,,1,7,1,
531,27.673833,21.759917,G,2666.054329,0.008893,,160,4,67,30,18,10,,15,39,10,4
532,27.721667,18.302778,G,5166.023636,0.017232,,29,,37,14,9,4,,3,11,,3
533,27.682,-12.035667,G,5505.088906,0.018363,,47,,42,12,11,5,,12,15,1,3
534,27.785667,21.912806,G,2941.86339,0.009813,,96,4,68,28,20,8,,11,42,7,3
535,27.82825,34.872861,G,5047.905408,0.016838,,28,,41,9,6,4,,,,1,1
536,27.823167,34.848694,G,4689.053836,0.015641,,41,1,36,10,10,7,,5,13,1,2
537,27.766,-9.702611,G,1829.933164,0.006104,,190,5,59,17,20,7,,35,46,18,5
538,27.823208,22.357972,G,3089.960865,0.010307,,137,5,74,21,14,8,1,19,38,7,6
539,27.871458,36.065944,G,5309.924016,0.017712,,92,1,74,22,19,8,,13,18,1,3
540,27.782918,-9.792037,G,12901.037797,0.043033,SPEC,52,3,71,15,13,13,,1,8,7,2
541,27.868208,-6.516611,G,2129.126037,0.007102,,36,1,19,15,8,3,,6,7,3,2
542,28.002,35.639083,G,4958.867048,0.016541,,17,,40,12,6,4,,2,3,1,3
543,28.0115,36.131028,G,6056.107444,0.020201,,31,,48,11,5,4,,1,8,1,2
544,27.980417,8.831389,G,5371.081678,0.017916,,22,,34,12,6,4,,3,8,,2
545,28.090625,35.796194,G,4099.062278,0.013673,,49,1,46,15,8,7,,,5,1,1
546,27.979792,-24.316639,G,9105.896119,0.030374,,25,,41,13,8,17,,4,4,3,1
547,28.239417,36.512889,G,5020.024469,0.016745,,61,1,62,13,12,8,,4,15,2,1
548,28.204167,-3.446833,G,5002.936539,0.016688,,110,2,103,29,23,5,,20,20,3,6
549,28.248671,12.708469,G,4558.943909,0.015207,,99,1,80,24,17,10,,13,25,9,4
550,28.136792,-35.839667,G,9874.863774,0.032939,,13,,31,8,6,13,2,3,4,2,1
551,28.345667,36.955139,G,5253.862976,0.017525,,49,2,47,15,12,6,,1,5,2,2
552,28.373542,36.221306,G,4324.2,0.014424,,68,,60,15,15,7,,,5,1,
553,28.1935,-48.891222,G,6194.011975,0.020661,,21,1,47,10,7,17,,,4,3,1
554,28.472509,36.585084,G,5743.124118,0.019157,,36,3,34,10,7,3,,2,15,,2
555,28.461167,36.564194,G,5743.124118,0.019157,,37,1,41,11,6,4,,1,8,1,2
556,28.479625,36.229417,G,5184.011184,0.017292,,50,,58,14,7,8,,,4,1,
557,28.515322,14.909537,G,5091.974899,0.016985,,38,,50,12,12,11,,3,9,9,4
