#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
212 13.289042 21.926667 -340.2575  76.07706835 0.02436000  0.02552395
213 13.360958 29.270361  146.0782  43.47550555 0.01504400  0.01454965
214 13.328208 -26.797889 -90.5508  107.57819537 0.03586800  0.03618097
215 13.386167 2.924306 -248.2079  51.39430561 0.01636800  0.01721018
216 13.431042 -27.049722 -160.0468  57.03426759 0.01856300  0.01910706
217 13.383708 -58.107139  5.6551  59.41350957 0.01992700  0.01990776
218 13.453668 -33.294948 -31.1690  53.90634177 0.01794900  0.01805485
219 13.446042 -45.186639 -200.1997  74.85497391 0.02442700  0.02511156
220 13.469434 -46.972409 -128.7367  83.50897893 0.02759200  0.02803346
221 13.499083 -21.67725 -98.8936  172.36918710 0.05792000  0.05826909
222 13.675437 36.765154 -529.5681  65.70458035 0.02022100  0.02202636
223 13.704917 52.480111 -388.7804  55.36624051 0.01722500  0.01854588
224 13.678458 21.522639  22.0493  26.46616222 0.00892000  0.00884580
225 13.7095 29.246639  146.0782  44.65717009 0.01544100  0.01494645
226 13.695833 31.365972  146.0782  43.36536468 0.01500700  0.01451266
227 13.557708 -62.455361 -51.8242  105.88563290 0.03542800  0.03560702
228 13.6375 -51.258639 -15.6434  72.72629888 0.02434000  0.02439345
229 13.781292 31.542278 -601.9660  60.55401440 0.01824300  0.02029169
230 13.763167 -19.005944 -322.1687  66.71456596 0.02126800  0.02236668
231 13.839792 31.67725 -478.2521  61.04775074 0.01883000  0.02045791
232 13.787345 -1.046479 -198.6794  137.64785487 0.04571000  0.04640348
233 13.886417 30.398167 -470.8521  71.18335300 0.02226500  0.02387309
234 14.248667 -45.412944 -132.5510  79.95196188 0.02637800  0.02683201
235 14.423583 33.351444 -604.7667  58.92433571 0.01768600  0.01974311
236 14.396208 -5.0025 -560.0570  62.01315815 0.01887600  0.02078297
237 14.465431 -1.136015 -143.9829  129.65744687 0.04318100  0.04368225
238 14.449458 -5.112083 -340.1581  58.08230378 0.01830300  0.01945973
239 14.506667 -5.071222 -340.1581  55.89836843 0.01756900  0.01872489
240 14.480667 -5.130417 -340.1581  58.01090610 0.01827900  0.01943570
241 14.647958 45.005222 -336.5638  55.38586470 0.01740900  0.01855248
242 14.593 -36.660139 -204.8781  105.03472581 0.03461100  0.03531854
243 14.707542 -35.116028 -108.2103  92.55862872 0.03072100  0.03109317
244 14.741667 -18.742667 -285.6361  22.82899674 0.00666800  0.00762805
245 14.901 35.560333  51.0378  23.01542056 0.00786200  0.00769045
246 14.917143 15.33098 -426.5626  59.15295628 0.01836900  0.01982006
247 14.872458 -36.186611 -159.1204  36.37034274 0.01162800  0.01216523
248 14.953053 14.723512 -368.7138  124.61418774 0.04068500  0.04196651
249 14.958708 -7.577972 -234.7327  18.83593378 0.00550400  0.00629191
250 15.117208 47.995194 -26.8660  27.34586667 0.00905000  0.00914043
251 15.135417 30.797222 -270.4260  50.85357305 0.01611100  0.01702840
252 15.151708 30.668972 -270.4260  50.39799739 0.01595800  0.01687527
253 15.230917 47.681972 -26.8660  26.39929196 0.00873300  0.00882341
254 15.252292 13.468333 -233.3305  119.06280805 0.03927000  0.04007950
255 15.257125 29.601722 -458.0381  54.39051316 0.01666200  0.01821768
256 15.260708 9.724833 -443.5169  64.65417229 0.02016100  0.02167248
